relation_type,prompt,target
六冲,子,午
六冲,丑,未
六冲,寅,申
六冲,卯,酉
六冲,辰,戌
六冲,巳,亥
六合,子丑,土
六合,子,丑
六合,寅亥,木
六合,寅,亥
六合,卯戌,火
六合,卯,戌
六合,辰酉,金
六合,辰,酉
六合,巳申,水
六合,巳,申
六合,午未,土火
六合,午,未
六害,卯,辰
六害,寅,巳
六害,丑,午
六害,子,未
六害,亥,申
六害,戌,酉
六破,子,酉
六破,午,卯
六破,巳,申
六破,寅,亥
六破,辰,丑
六破,戌,未
三合,水,申子辰
三合,申,子辰
三合,子,申辰
三合,辰,申子
三合,木,亥卯未
三合,亥,卯未
三合,卯,亥未
三合,未,亥卯
三合,火,寅午戌
三合,寅,午戌
三合,午,寅戌
三合,戌,寅午
三合,金,巳酉丑
三合,巳,酉丑
三合,酉,巳丑
三合,丑,巳酉
相刑,子,卯
相刑,寅,申巳
相刑,巳,寅申
相刑,申,寅巳
相刑,丑,戌未
相刑,戌,丑未
相刑,未,丑戌
相刑,辰,辰
相刑,午,午
相刑,酉,酉
相刑,亥,亥
十二长生,甲,亥卯午
十二长生,亥卯午,甲
十二长生,乙,午寅亥
十二长生,午寅亥,乙
十二长生,丙,寅午酉
十二长生,寅午酉,丙戊
十二长生,丁,酉巳寅
十二长生,酉巳寅,丁己
十二长生,戊,寅午酉
十二长生,己,酉巳寅
十二长生,庚,巳酉子
十二长生,巳酉子,庚
十二长生,辛,子申巳
十二长生,子申巳,辛
十二长生,壬,申子卯
十二长生,申子卯,壬
十二长生,癸,卯亥申
十二长生,卯亥申,癸
五行长生,木,亥卯午未申
五行长生,亥卯午未申,木
五行长生,火,寅午酉戌亥
五行长生,寅午酉戌亥,火
五行长生,土,申子卯辰巳
五行长生,金,巳酉子丑寅
五行长生,巳酉子丑寅,金
五行长生,水,申子卯辰巳
五行长生,申子卯辰巳,土水
天干合化,甲己,土
天干合化,甲,己
天干合化,乙庚,金
天干合化,乙,庚
天干合化,丙辛,水
天干合化,丙,辛
天干合化,丁壬,木
天干合化,丁,壬
天干合化,戊癸,火
天干合化,戊,癸
十灵日,甲,辰
十灵日,辰,甲
十灵日,乙,亥
十灵日,亥,乙
十灵日,丙,辰
十灵日,辰,丙
十灵日,丁,酉
十灵日,酉,丁
十灵日,戊,午
十灵日,午,戊
十灵日,庚,戌寅
十灵日,戌,庚
十灵日,寅,庚
十灵日,辛,亥
十灵日,亥,辛
十灵日,壬,寅
十灵日,寅,壬
十灵日,癸,未
十灵日,未,未
乾造十神亲,偏印,母
乾造十神亲,母,偏印
乾造十神亲,偏财,父/情人
乾造十神亲,父,偏财
乾造十神亲,情人,偏财
乾造十神亲,正财,妻
乾造十神亲,妻,正财
乾造十神亲,偏财,情人
乾造十神亲,情人,偏财
乾造十神亲,正官,女儿
乾造十神亲,女儿,正官
乾造十神亲,七杀,儿子
乾造十神亲,儿子,七杀
坤造十神亲,正印,母
坤造十神亲,偏财,父
坤造十神亲,正官,夫
坤造十神亲,七杀,情人
坤造十神亲,食神,女儿
坤造十神亲,伤官,儿子
